City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,sao vicente,-23.9631,-46.3919,23.1,26,96,0.89,BR,1690509985
211,margate,51.3813,1.3862,17.72,94,88,1.79,GB,1690509819
212,yuzhno-kurilsk,44.0306,145.8556,22.98,78,51,2.16,RU,1690509985
213,nova xavantina,-14.6667,-52.35,22.47,36,9,1.33,BR,1690509985
214,belomorsk,64.5232,34.7668,15.88,77,100,2.15,RU,1690509986
215,freetown,8.484,-13.2299,25.13,88,58,2.57,SL,1690509986
216,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,100,2.0,RU,1690509986
217,santiago de cuba,20.0247,-75.8219,25.38,90,100,0.46,CU,1690509814
218,kiruna,67.8557,20.2251,7.51,100,75,2.57,SE,1690509987
219,margaret river,-33.95,115.0667,15.5,65,86,8.48,AU,1690509987
220,suez,29.9737,32.5263,28.35,39,4,3.61,EG,1690509987
221,holualoa,19.6228,-155.9522,28.91,73,40,4.12,US,1690509987
222,kayyerkan,69.3786,87.7439,25.72,47,3,4.23,RU,1690509988
223,palopo,-2.9996,120.1921,28.01,63,100,1.01,ID,1690509988
224,kerikeri,-35.2268,173.9474,14.16,53,13,4.12,NZ,1690509988
225,richards bay,-28.783,32.0377,17.01,94,5,1.87,ZA,1690509988
226,saint-girons,42.9167,1.1667,15.13,88,80,1.52,FR,1690509988
227,tamanrasset,22.785,5.5228,25.95,11,0,3.09,DZ,1690509989
228,beyneu,45.3167,55.2,28.61,27,0,2.63,KZ,1690509989
229,zyryanskoye,56.8306,86.6258,21.44,65,20,1.46,RU,1690509989
230,sobeslav,49.2599,14.7186,16.53,95,100,2.52,CZ,1690509989
231,pitimbu,-7.4706,-34.8086,24.33,86,11,5.33,BR,1690509989
232,broome,42.2506,-75.833,23.53,94,2,0.45,US,1690509990
233,ilhabela,-23.7781,-45.3581,21.34,93,77,2.08,BR,1690509758
234,afaahiti,-17.75,-149.2833,25.59,85,32,4.22,PF,1690509990
235,la passe,45.5549,-0.8967,19.99,91,99,5.06,FR,1690509990
236,peniche,39.3558,-9.3811,17.82,90,0,4.01,PT,1690509990
237,thompson,55.7435,-97.8558,15.09,63,75,3.09,CA,1690509713
238,papao,-17.75,-149.55,26.48,79,4,2.55,PF,1690509991
239,harper,4.375,-7.7169,24.55,90,97,4.41,LR,1690509991
